2026-02-20 05:21:52.543 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.utils.logger:setup_logger:41 — Logger initialized for run_id=6fc6fd76-111f-4634-a174-b9dcb4da087f
2026-02-20 05:21:52.543 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.orchestrator.graph:run_healing_pipeline:185 — ======================================================================
2026-02-20 05:21:52.543 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.orchestrator.graph:run_healing_pipeline:186 — 🚀 CI/CD Healing Intelligence Core — STARTING
2026-02-20 05:21:52.543 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.orchestrator.graph:run_healing_pipeline:187 — ======================================================================
2026-02-20 05:21:52.556 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.cicd_feedback_agent:run:68 — [CICDFeedbackAgent] No CI logs provided, skipping
2026-02-20 05:21:52.557 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.repo_analyzer_agent:run:84 — [RepoAnalyzerAgent] Scanning repo: /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f
2026-02-20 05:21:52.560 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.repo_analyzer_agent:run:90 — [RepoAnalyzerAgent] Detected language=PYTHON, test_tool=pytest
2026-02-20 05:21:52.560 | WARNING  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f/demo.py:1 — expected ':'
2026-02-20 05:21:52.561 | SUCCESS  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.repo_analyzer_agent:run:130 — [RepoAnalyzerAgent] Done in 0.00s — Python: 1 src, 0 tests, 0 configs
2026-02-20 05:21:52.561 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.test_runner_agent:run:72 — [TestRunnerAgent] Running tests — language=PYTHON, tool=pytest
2026-02-20 05:21:52.562 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.test_runner_agent:_execute_pytest:131 — [TestRunnerAgent] Running pytest in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f
2026-02-20 05:21:56.073 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.test_runner_agent:run:104 — [TestRunnerAgent] Done in 3.51s | exit=5 pass=0 fail=0
2026-02-20 05:21:56.074 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.failure_classifier_agent:run:166 — [FailureClassifierAgent] Classifying failures...
2026-02-20 05:21:56.075 | WARNING  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f/demo.py:1 — expected ':'
2026-02-20 05:21:56.075 | WARNING  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f/demo.py:1 — expected ':'
2026-02-20 05:21:56.076 | WARNING  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f/demo.py:1 — expected ':'
2026-02-20 05:21:56.076 | WARNING  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/6fc6fd76-111f-4634-a174-b9dcb4da087f/demo.py:1 — expected ':'
2026-02-20 05:21:56.077 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.failure_classifier_agent:run:195 — [FailureClassifierAgent] Running proactive LLM bug scan...
2026-02-20 05:21:56.680 | SUCCESS  | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.failure_classifier_agent:run:216 — [FailureClassifierAgent] 1 failures classified in 0.61s
2026-02-20 05:21:56.681 | INFO     | run=6fc6fd76-111f-4634-a174-b9dcb4da087f | backend.agents.root_cause_agent:run:56 — [RootCauseAgent] Analyzing 1 failures...
